Bulgakov, Mikhail|The White Guard
Bunin, Ivan|Grammar Of Love
Burgess, Anthony|Any Old Iron
Burgess, Anthony|Byrne
Burgess, Anthony|A Clockwork Orange
Burgess, Anthony|A Dead Man In Deptford
Burgess, Anthony|The Kingdom Of The Wicked
Burgres, Anthony|A Mouthful of Air
Burgess, Anthony|The Novel Now
Burton, Tim|The Melancholy Death Of Oyster Boy And Other Stories
Burns, Robert|The Poems And Songs Of
Butler, Samuel|The Way Of All Flesh
Byatt, A.S.|The Matisse Stories
Byatt, A.S.|Passions Of The Mind
Byatt, A.S.|Possession
Byron|Poems (without Don Juan)
Calvino, Italo|Difficult Loves
Calvino, Italo|If On A Winter's Night A Traveller
Camus, Albert| Exile and the Kingdom
Camus, Albert|The Fall
Camus, Albert|The Myth Of Sisyphus
Camus, Albert|The Outsider
Camus, Albert|The Plague
Camus, Albert|The Rebel
Capek, Karel|R.U.R.
Capote, Truman|In Cold Blood
Capote, Truman|Music For Chameleons
Carey, Peter|Bliss
Carey, Peter|Exotic Pleasures
Carey, Peter|The Fat Man In History
Carey, Peter|Illywhacker
Carey, Peter|Jack Maggs
Carey, Peter|My Life As A Fake
Carey, Peter|Oscar And Lucinda
Carey, Peter|The Tax Inspector
Carey, Peter|Theft: A Love Story
Carey, Peter|True History Of The Kelly Gang
Carey, Peter|The Unusual Life Of Tristan Smith
Card, Orson Scott|Prentice Alvin
Carr, Bob|Thoughtliness
Carter, Angela|Collected Stories: Burning Your Boats
Cassidy, Barrie|The Party Thieves
Cather, Willa|My Antonia
Cato|Guilty Men
Catullus|The Poems Of
Cave, Nick|And The Ass Saw The Angel
Cervantes|Don Quixote
Chandler, Raymond|The Big Sleep
Chandler, Raymond|The High Window/The Lady In The Lake/The Long Goodbye/Playback/Farewell My Lovely
Chandra, Vikram|Red Earth And Pouring Rain
Chatwin, Bruce|Anatomy Of Restlessness
Chatwin, Bruce|In Patagonia
Chatwin, Bruce|On The Black Hill
Chatwin, Bruce|The Songlines
Chatwin, Bruce|Utz
Chatwin, Bruce|The Viceroy Of Ouidah
Chatwin, Bruce|What Am I Doing Here
Chaucer|Canterbury Tales
Chaucer|Troilus and Cressida/Canterbury Tales
Chekhov, Anton|Plays (Ivanov/The Seagull/Uncle Vanya/Three Sisters/The Cherry Orchard/The Bear/The Proposal/A Jubilee)
Chekhov, Anton|Stories
Chevalier, Tracy|Girl With A Pearl Earring
Chinner, G.F.|Twixt Shadow And Shine
Chomsky, Noam|Cartesian Linguistics
Chomsky, Noam|Reflections on Language
Christe, Agatha|By The Pricking Of My Thumbs
Christe, Agatha|Dumb Witness
Christe, Agatha|Lord Edgware Dies
Christe, Agatha|Postern of Fate
Clark, Barrett H.|Great Short Stories Of The World
Clark, Manning|Occasional Writings and Speeches
Clarke, Marcus|For The Term Of His Natural Life
Clarke, Susanna|Jonathan Strange And Mr Norrell
Cobbold, Marika|The Purveyor of Enchantments
Cocteau, Jean|Les Enfants Terribles
Coelho, Paulo|The Alchemist
Coetzee, J.M.|Disgrace
Coetzee, J.M.|Elizabeth Costello
Coetzee, J.M.|Landscape With Rowers: Poetry From The Netherlands
Cohen, J.M.|The Penguin Book Of Comic And Curious Verse
Conlon, D.J.|G.K.Chesterton: A Half Century of Views
Colette|Cheri
Colette|The Other One
Colette|Ripening Seed
Coleridge, S.T.|The Complete Poems
Collen, Lindsey|The Rape Of Sita
Collins, Wilkie|Woman In White
Collier, John|Defy The Foul Fiend
Commins, Saxe|Man And Spirit: The Speculative Philosophers
Conrad, Joseph|Heart Of Darkness
Conrad, Joseph|Lord Jim
Conrad, Joseph|The Nigger Of The 'Narcissus'
Conrad, Joseph|Nostromo
Conrad, Joseph|The Secret Agent
Conrad, Joseph|Typhoon And Youth
Coward, Noel|Plays: One (Hay Fever/The Vortex/Fallen Angels/Easy Virtue)
Cowell, Brendan|How It Feels
Cozzens, J.G.|S.S. San Pedro: A Tale Of The Sea
Crane, Hart|Complete Poems
Creeley, Robert|Echoes
Cummings, E.E.|Complete Poems 1913-1935
Dalai Lama|The Wisdom Of Forgiveness
Dante|The Divine Comedy
Dante|The Divine Comedy: Inferno
Dantec, Maurice G.|Babylon Babies
Dawe, Bruce|Sometimes Gladness
Dawkins, Richard|Unweaving The Rainbow
Deane, Anthony C.|St. Paul And His Letters
Defoe, Daniel|Moll Flanders
Delillo, Don|The Body Artist
Delillo, Don|End Zone
Delillo, Don|Mao II
Delillo, Don|Underworld
Desai, Anita|Fasting, Feasting
Desai, Kiran|Hullabaloo In The Guava Orchard
Desai, Kiran|The Inheritance Of Loss
Descartes, Rene|Discourse On Method And The Meditations
Dessaix, Robert|Corfu
Dessaix, Robert|Night Letters
Dickens, Charles|Bleak House
Dickens, Charles|David Copperfield
Dickens, Charles|Great Expectations
Dickens, Charles|Hard Times
Dickens, Charles|Martin Chuzzlewit
Diderot, Denis|The Nun
Dillard, Annie|Pilgrim At Tinker Creek
Dolley, Christopher|The Penguin Book Of English Short Stories
Donaghy, Michael|Shibbolith
Donne, John|The Complete English Poems
Donoghue, Emma|Room
Dostoyevsky, Fyodor|The Brothers Karamazov
Dostoyevsky, Fyodor|Crime And Punishment
Dostoyevsky, Fyodor|The Gentle Spirit
Dostoyevsky, Fyodor|The Idiot
Dostoyevsky, Fyodor|Notes From The Underground
Doyle, Arthur Conan|Sherlock Holmes
Dragoman, Gyorgy|The White King
Dreiser, Theodore|Twelve Men
Dumas, Alexandre|The Count Of Montecristo
Dumas, Alexandre|The Man In The Iron Mask
Duras, Marguerite|Summer Rain
Duras, Marguerite|Whole Days In The Trees
Echenoz, Jean|I'm Off
Eco, Umberto|Baudolino
Eco, Umberto|Foucault's Pendulum
Eco, Umberto|How To Travel With A Salmon
Eco, Umberto|The Island Of The Day Before
Eco, Umberto|The Mysterious Flame Of Queen Loana
Eco, Umberto|The Name Of The Rose
Eco, Umberto|Travels In Hyperreality
Edson, Margaret|W;t
Eliot, T.S.|The Confidential Clerk
Eliot, T.S.|The Letters Of T.S. Eliot Volume 1
Eliot, T.S.|Murder In The Cathedral
Eliot, T.S.|Old Possum's Book of Practical Cats
Eliot, T.S.|On Poetry and Poets
Eliot, T.S.|Selected Poems
Eliot, T.S.|Selected Prose
Eliot, T.S.|The Wasteland and Other Poems
Eliot, T.S.|What Is A Classic?
Eliot, George|The Lifted Veil/Brother Jacob
Eliot, George|Middlemarch
Eliot, George|The Mill On The Floss
Eliot, George|Silas Marner
Ellis, Bob|So It Goes
Ellis, Bret Easton|Less Than Zero
Emerson, R.W.|The Conduct Of Life
Enchi, Fumiko|Masks
Enquist, Per Olov|The Visit Of The Royal Physician
Enright, Anne|The Gathering
Enright, D.J.|Selected Poems
Enrigth, D.J.|Shakespeare And The Students
Estes, Clarissa Pinkola|Women Who Run With The Wolves
Eugenides, Jeffery|Middlesex
Euripidies|Alcestis/Hippolytus/Iphigenia In Tauris
Euripidies|Bacchae
Eruipidies|Hecuba/Andromache/The Trojan Women/Ion
Euripidies|Medea/Hecabe/Electra/Heracles
Farah, Nuruddin|From A Crooked Rib
Faulks, Sebastian|Birdsong
Feynman, Richard P.|The Meaning Of It All
Feynman, Richard P.|"Surely You're Joking, Mr. Feyman!"
Fitzgerald, F. Scott|Bernice Bobs Her Hair/Winter Dreams/The Sensible Thing/Absolution/The Baby Party/A Short Trip Home/Magnetism/The Rough Crossing
Fitzgerald, F. Scott|The Great Gatsby
Fitzgerald, F. Scott|The Last Tycoon
Fitzgerald, F. Scott|Tender Is The Night
Fitzgerald, Penelope|The Gate Of Angels
Fitzgerald, Penelope|The Knox Brothers
Fitzgerald, Penelope|Offshore
Fitzgerald, Robert D.|Forty Years Poem
Flanagan, Richard|The Unknown Terrorist
Flaubert - Sand|The Correspondence
Flaubert, Gustave|Madam Bovary
Forster, C.S.|The Gun
Forster, C.S.|Maurice
Forster, E.M.|A Room With A View
Forster, E.M.|Where Angels Fear To Tread
Forster, Penny|Daughters Of de Beauvoir
Foucault, Michel|Discipline And Punish
Frank, Anne|The Diary Of Anne Frank
Franklin, Miles|My Brilliant Career/My Career Goes Bung
Franzen, Jonathan|The Corrections
Franzen, Jonathan|Freedom
Franzen, Jonathan|How To Be Alone
Freud, Sigmund|Civilisation And Its Discontents
Friel, Brian|Dancing At Lughnasa
Friel, Brian|Plays One (Philadelphia, Here I Come!/The Freedom Of The City/Living Quarters/Aristocrats/Faith Healer/Translations
Frisch, Max|Andorra
Frost, Robert|The Poetry Of Robert Frost
Frost, Robert|Selected Poems
Foucault, Michel|Maurice Blanchot: The Thought From Outside
Gaarder, Jostein|Sophie's World
Galdos, Perez|The Spendthrift
Gallico, Paul|Flowers for Mrs Harris
Galsworthy, John|Forsyte Saga
Galsworthy, John|Maid In Waiting
Galsworthy, John|The Man of Property
Galsworthy, John|A Modern Comedy: Swan Song
Galsworthy, John|Verses New And Old
Gao Xingjian|One Man's Bible
Gao Xingjian|Soul Mountain
Gardner, Helen|The Metaphysical Poets
Garner, Helen|The Feel Of Steel
Gaskell, Elizabeth C.|Cranford
Gelbach, Igor|Confessions of A Clay Man
Genet, Jean|Mineral Of The Rose
Genet, Jean|The Maids/Deathwatch
Genet, Jean|The Screen
Gibran, Kahlil|The Broken Wings
Gibran, Kahlil|The Earth Gods
Gibran, Kahlil|The Prophet
Gibran, Kahlil|Secrets Of The Heart
Gibran, Kahlil|A Tear And A Smile
Gide, Andre|The Counterfeiters
Gide, Andre|If I Die
Gide, Andre|The Immoralist
Gide, Andre|Journals 1889-1949
Gide, Andre|La Symphonie/Pastorale
Gide, Andre|Strait Is The Gate
Gide, Andre|Travels In The Congo
Gide, Andre|The Vatican Cellars
Gioseffi, Daniela|Women On War
Gissing, George|The Letters Of George Gissing To Eduard Bertz
Goethe|Elective Affinities
Goethe|Faust (English And German)
Goethe|Das Leben, Es Ist Gut (German)(Selected Poems)
Goethe|Selected Verse (With Prose Translations)
Goethe|The Sorrows Of Young Werther/Reflections On Werther/Goethe In Sesenheim/The New Melusina/The Fairy Tale)
Goethe|Tagebucher (German)
Goethe|The Theory Of Colours
Goff, Martyn|Prize Writing
Golden, Arthur|Memoirs Of A Geisha
Golding, William|The Brass Butterfly
Golding, William|Close Quarters
Golding, William|The Double Tongue
Golding, William|The Inheritors
Golding, William|The Lord Of The Flies
Golding, William|A Moving Target
Golding, William|The Paper Men
Golding, William|The Spire
Goldsmith, Oliver|The Vicar Of Wakefield
Golgol, Nikolay|Dead Souls
Golgol, Nikolay|Taras Bulba and Other Stories
Gordimer, Nadine|Beethoven Was One-Sixteenth Black
Gordimer, Nadine|The House Gun
Gordimer, Nadine|July's People
Gordon, Adam Lindsay|Selected Poems
Gorky, Maxim|The Artamonov Business
Gorky, Maxim|Mother
Gorky, Maxim|Through Russia: A Book Of Stories
Grant, Jamie|The Valley Murders
Grass, Gunter|Cat And Mouse
Grass, Gunter|Local Anaesthetic
Grass, Gunter|My Century
Grass, Gunter|The Tin Drum
Grass, Gunter|Two States - One Nation?
Gray, Alasdair|Poor Things
Greene, Graham|Brighton Rock
Greene, Graham|Carving A Statue
Greene, Graham|The Comedians
Greene, Graham|The End Of The Affair
Greene, Graham|The Human Factor
Greene, Graham|The Other Man (Allain, Marie Francoise)
Greene, Graham|The Power And The Glory
Greene, Graham|The Quiet American
Greene, Graham|Twenty-One Stories
Grenville, Kate|The Secret River
Graves, Robert|Goodbye To All That
Graves, Robert|Greek Myths
Graves, Robert|Wife To Mr. Milton
Ha Jin|Waiting
Haddon, Mark|The Curious Incident Of The Dog In The Night Time
Haddon, Mark|A Spot Of Bother
Hagiwara Sakutaro|Face At The Bottom Of The World
Halpern, Daniel|Selected Poems
Hamsun, Knut|Hunger
Hamsun, Knut|Pan
Hampden, John|The Beggar's Opera and Other Eighteenth Century Plays
Hartnett, Sonya|The Ghost's Child
Hardy, Thomas|Desperate Remedies
Hardy, Thomas|Far From The Madding Crowd
Hardy, Thomas|Jude The Obscure
Hardy, Thomas|The Mayor Of Casterbridge
Hardy, Thomas|The Return Of The Native
Hardy, Thomas|Selected Poems
Hardy, Thomas|Tess Of The D'Ubervilles
Hardy, Thomas|The Trumpet Major
Hardy, Thomas|Under The Greenwood Tree
Hardy, Thomas|The Woodlands
Harris, Thomas|Hannibal
Harris, Thomas|Red Dragon
Harwood, Gwen|Selected Poems
Hastings, Michael|Tom And Viv
Hawthorn, Nathaniel|The House Of The Seven Gables
Hawthorn, Nathaniel|The Scarlet Letter And Selected Tales
Havel, Vaclav|Largo Desolato (German)
Havel, Vaclav|Open Letters: Selected Writings 1965-1990
Haywood, Charles|Folk Songs Of The World
Hazzard, Shirley|The Great Fire
Hazzard, Shirley|People In Glass Houses
Hazzard, Shirley|The Transit Of Venus
Heaney, Seamus|Electric Lights
Heaney, Seamus|North
Heaney, Seamus|The New Selected Poems 1966-1987
Heaney, Seamus|The Rattle Bag
Heaney, Seamus|Selected Poems
Heaney, Seamus|The Spirit Level
Heaney, Seamus|Sweeney Astray
Heine, Heinrich|Heines Werke
Heine, Heinrich|It Will Be A Lovely Day (Prose Selection)
Heinlein, Robert A. |Glory Road
Heinlein, Robert A.|Job: A Comedy Of Justice
Heller, Joseph|Catch 22
Heller, Joseph|Picture This
Heminway, Ernest|Across The River Ans Into The Trees
Heminway, Ernest|A Farewell To Arms
Heminway, Ernest|The First Forty-nine Stories
Heminway, Ernest|For Whom The Bell Tolls
Heminway, Ernest|The Old Man And The Sea
Heminway, Ernest|The Snows Of Kilimanjaro
Heminway, Ernest|Time At First Light
Herodotus|The Histories
Hesse, Herman|Demian (English,German)
Hesse, Herman|Gertrude
Hesse, Herman|The Glass Bead Game
Hesse, Herman|Narziss And Goldmund (English and German)
Hesse, Herman|Peter Camenzind (German)
Hesse, Herman|Siddhartha
Hesse, Herman|Steppenwolf
Hesse, Hermam|Strange News From Another Star
Hewes, Henry|Famous American Plays Of The 1940s
Hoban, Russell|Her Name Was Lola
Hoban, Russell|The Moment Under The Moment
Hoban, Russell|Riddley Walker
Hobb, Robin|Forest Mage
Hobb, Robin|Shaman's Crossing
Hoeg, Peter|The History Of Danish Dreams
Hoeg, Peter|Miss Smilia's Felling For Snow
Hofmann, Gert|Luck
Hogan, Edward|Blackmoor
Holderlin Friedrich|Hyperion
Holm, Anne|I Am David
Holroyd, Michael|Benard Shaw
Homer|The Iliad
Hope, A.D.|The Age Of Reason
Hope, Anthony|Tristram Of Blent
Hope, Christopher|Serenity House
Hughes, Richard|In Hazzard
Hughes, Robert|Things I Didn't Know
Hughes, Ted|A Danger To God: Tributes to T.S. Eliot
Hughes, Ted|Selected Poems
Huizinga, Johan|Homo Ludens
Humphreys, Andrew|The Weight Of The Sun
Huxley, Aldous|Brave New World
Huxley, Aldous|Crome Yellow
Huxley, Aldous|Island
Hyland, M.J.|Carry Me Down
Ibrahim, Sun'Allah|The Committee
Ibsen, Henrik|Four Major Plays (A Dolls House/The Wild Duck/Hedda Gabler/The Master Builder)
Ibsen, Henrik|Ghosts and Other Plays (A Public Enemy/When We Dead Wake)
Ibsen, Henrik|Hedda Gabler (adapt. John Osborne)
Ibsen, Henrik|The Master Builder and Other Plays (Rosmerholm/Little Eyolf/John Gabriel Borkman)
Ibsen, Henrik|Peer Gynt
Ignatieff, Michael|The Warrior's Honor
Ionesco, Eugene|Plays (The Man With The Luggage/The Duel/Double Act/Why Do I Write?)
Ionesco, Eugene|Rhinoceros/The Chairs/The Lesson
Ionesco, Eugene|Theatre I (French)
Ishiguro, Kazuo|A Pale View Of Hills
Ishiguro, Kazuo|The Unconsoled
Ishiguro, Kazuo|When We Were Orphans
Jacobson, Howard|The Finkler Question
James, Henry|The Portrait Of A Lady
James, Henry|The Wings Of The Dove
Jarrell, Randall|Pictures From An Institution
Jennings, Kate|Moral Hazard
Jennings, Kate|Snake
Jhabvala, Ruth Prawer|A Backward Place
Jhabvala, Ruth Prawer|Heat And Dust
Jhabvala, Ruth Prawer|Like Birds, Like Fishes
Jian, Chen|The Story of Lao Zi
Johnson, Ben|Volpone
Johnson, Samuel|Lives Of The English Poets: A Selection
Johnston, Charles|Poems And Journeys
Johnston, Charles|Talk About The Last Poet
Joyce, James|Dubliners
Joyce, James|Finnegans Wake
Joyce, James|A Portrait Of The Artist As A Young Man
Joyce, James|Ulysses
Jung, C.G.|Memories, Dreams, Reflections
Juvenal|The Sixteen Satires
Kafka, Franz|America
Kafka, Franz|The Basic Kafka
Kafka, Franz|Description Of A Struggle
Kafka, Franz|Letters To Milena
Kafka, Franz|The Metamorphosis and Other Stories (The Judgement/In A Penal Colony/A Country Doctor/A Report To An Academy
Kafka, Franz|Die Verwandlung
Kane, Sarah|Complete Plays
Kant|The Critique of Pure Reason/The Critique of Practical Reason and Other Ethical Treaties/The Critique of Judgement
Kazantzakis, Nikos|The Last Temptation Of Christ
Kazantzakis, Nikos|Report To Greco
Kazantzakis, Nikos|Zorba The Greek
Keats, John|Complete Poetry and Selected Prose
Kellerher, Victor|Del-Del
Kellerher, Victor|Master Of The Grove
Kempis, Thomas a|The Imitation Of Christ
Kenna, Peter|The Slaughter On St. Teresa's Day
Kenyon, F.W.|Legacy Of Hate
Kerouac, Jack|On The Road
Kierkegaard, Soren|Fear And Trembling/Repetition
Kipling, Rudyard|The Complete Verse
Kipling, Rudyard|Life's Handicap
Kipling, Rudyard|The Light That Failed
Kipling, Rudyard|Soldiers Three and Other Stories (The Story Of The Gadsbys/In Black And White)
Kopland, Rutger|Memories Of The Unknown
Kops, Bernard|The Dream Of Peter Mann
Kops, Bernhard|Four Plays (The Hamlet Of Stepney Green/Enter Solly Gold/Home Sweet Honeycomb/The Lemmings)
Kross, Jaan|Treading Air
Kundera, Milan|The Book Of Laughter And Longing
Kundera, Milan|The Farewell Party
Kundera, Milan|Immortality
Kundera, Milan|Laughable Loves
Kundera, Milan|The Unbearable Lightness Of Being
Kureishi, Hanif|Gabriel's Gift
Kureishi, Hanif|Intimacy
Kureishi, Hanif|Love In A Blue Time
Kurkov, Andrey|A Matter Of Life And Death
Kurkov, Andrey|The President's Last Love
Kusano, Shimpei|Asking Myself Answering Myself
Lanchester, John|The Debt To Pleasure
Lao Tzu|The Way Of Life (Trans. Witter Bynner)
Lardner, Ring, Jr.|The Ecstasy Of Owen Muir
Larkin, Philip|A Girl In Winter
Larkin, Philip|The Less Deceived
Larkin, Philip|The Whitsun Weddings
Lawler, Ray|Summer Of The Seventeenth Doll
Lawrence, D.H.|Aaron's Rod
Lawrence, D.H.|The Boy In The Bush
Lawrence, D.H.|Daughters Of The Vicar
Lawrence, D.H.|England, My England
Lawrence, D.H.|Kangaroo
Lawrence, D.H.|Lady Chatterley's Lover
Lawrence, D.H.|Letters To Thomas And Adele Seltzer
Lawrence, D.H.|The Lost Girl
Lawrence, D.H.|Love Among The Haystacks and Other Stories
Lawrence, D.H.|Phoenix: The Posthumous Papers Of D.H. Lawrence
Lawrence, D.H.|Phoenix II: The Collected Writings
Lawrence, D.H.|The Plumed Serpent
Lawrence, D.H.|The Princess and Other Stories
Lawrence, D.H.|The Rainbow
Lawrence, D.H.|Selected Essays
Lawrence, D.H.|Selected Letters
Lawrence, D.H.|Selected Poems
Lawrence, D.H.|Short Novels (Love Among The Haystacks/The Ladybird/The Fox/The Captain's Doll)
Lawrence, D.H.|Sons And Lovers
Lawrence, D.H.|St. Mawr/The Virgin And The Gipsy
Lawrence, D.H.|The Trespasser
Lawrence, D.H.|Twilight In Italy/Sea And Sardinia
Lawrence, D.H.|The White Peacock
Lawrence, D.H.|Women In Love
Lawson, Henry|Poems
Lawson, Henry|While The Billy Boils
Lawson, Henry|The World Of Henry Lawson
Lautreamont, Comte de|The Complete Works
Laxness, Halldor|Independent People
Le, Nam|The Boat
Leavis, F.R.|The Common Pursuit
Leavis, F.R.|D.H. Lawrence: Novelist
Leavis, F.R.|Revaluation
Leavitt, David|The Penguin Book Of Penguin Short Stories
Lee, Andrea|Lost Hearts In Italy
Lee, Harper|To Kill A Mockingbird
Leskov, Nikolai|Selected Tales
Lessing, Doris|Alfred & Emily
Lessing, Doris|Ben, In The World
Lessing, Doris|Briefing For A Descent Into Hell
Lessing, Doris|The Cleft
Lessing, Doris|The Diaries Of Jane Somers
Lessing, Doris|The Fifth Child
Lessing, Doris|The Four-Gated City
Lessing, Doris|The Grass Is Singing
Lessing, Doris|Going Home
Lessing, Doris|The Golden Notebook
Lessing, Doris|The Good Terrorist
Lessing, Doris|Landlocked
Lessing, Doris|Love, Again
Lessing, Doris|A Man And Two Women
Lessing, Doris|Martha Quest
Lessing, Doris|The Memoirs Of A Survivor
Lessing, Doris|A Ripple From The Strom
Lessing, Doris|The Story Of A Non-Marrying Man
Lessing, Doris|The Summer Before The Dark
Lessing, Doris|The Sweetest Dream
Lessing, Doris|The Temptation Of Jack Orkney
Lessing, Doris|Time Bits
Levertov, Denise|The Feeling Of The Dust
Levin, Ira|The Stepford Wives
Levy, Andrea|Small Island
Lewis, C.S.|The Dark Tower and Other Stories
Lewis, C.S.|A Grief Observed
Lewis, C.S.|The Lion, The Witch And The Wardrobe
Lewis, C.S.|Perlandra
Lewis, C.S.|A Preface To Paradise Lost
Lewycka, Mariana|A Short History Of Tractors In Ukrainian
Lindsay, Norman|Age Of Consent
Llewellyn-Jones, Derek|Everywoman
Lo, Kuan-chung|Romance Of The Three Kingdoms Vol. 1
Lo, Kuan-chung|Romance Of The Three Kingdoms Vol. 2
